episode,episode_loss
1,1.5466438694469655
2,1.9283571067936707
3,1.5042131032412973
4,1.33490522795056
5,1.140205042653411
6,1.863620420530461
7,1.6702553048354747
8,2.882841602588693
9,1.0071546551977615
10,0.7873994303762666
11,2.4702882566858673
12,1.0491509411488766
13,1.384512391392761
14,2.9468187044064202
15,1.9193143938314579
16,1.5036821854300797
17,0.9876372648165747
18,1.9879316137526493
19,2.097050751589247
20,1.5764608934325797
21,4.367614959696463
22,1.2029522784243223
23,2.831143024803406
24,1.8138215523818864
25,2.898078911214433
26,3.453456372653848
27,2.520636231948932
28,2.2386021667500278
29,1.7450369627844622
30,4.569757693903132
31,0.9020000177111367
32,3.9166171845308155
33,1.946470368881931
34,3.630113014485687
35,2.2515032093065757
36,4.463186329754535
37,2.7394379338389627
38,2.6387497493704655
39,1.8708896343866612
40,2.4723711772680734
41,4.294608062598854
42,3.190517435327385
43,2.4066589291129588
44,2.4686116719108036
45,2.767340942596396
46,1.3063516005032652
47,3.369106417683025
48,2.9708988337562636
49,1.5063336466872725
50,3.871645935035
51,1.1793898892347239
52,3.4308044508575124
53,2.513090076578646
54,1.9879869711445135
55,1.129065788906744
56,2.309588146119606
57,3.4304453167822904
58,3.6491088627371937
59,1.4017120226365254
60,3.3800102902383036
61,1.4836814268961924
62,2.518990670951704
63,1.9578450108589898
64,0.9193250939314341
65,2.864648219329029
66,2.704625023451323
67,2.2185299647939587
68,1.991375037158529
69,1.9999632942017405
70,4.030313132718827
71,2.11977907613352
72,3.6029482430796014
73,3.2478942406739537
74,2.670609109967102
75,2.4321183724575404
76,2.635713965387477
77,2.7096214538129666
78,2.3927230371249526
79,2.400402096688672
80,2.5367255560659734
81,2.0800556916632313
82,2.4484254446677327
83,2.4123780816356777
84,2.2820997877408646
85,1.8612127176298103
86,2.228975922266978
87,2.4332557001559283
88,2.272002055726914
89,1.6924981428396508
90,2.2906488298039362
91,2.517583791312896
92,2.2731334783365216
93,1.1192777914404157
94,2.9554790763810965
95,4.1862924713641405
96,2.9866115702377125
97,2.6787691015375055
98,2.0803311425099387
99,3.3536896693774243
100,3.127877839461521
101,2.9262332719179893
102,2.3448821295407556
103,1.3747368866662835
104,1.959439223374364
105,2.6269325970817885
106,0.9482906963228895
107,3.340888267941773
108,2.418399769335847
109,1.8852936801621836
110,1.8470190820628496
111,4.394839123046647
112,3.9140058520327634
113,1.576455859373607
114,3.4359717598451036
115,3.5146783237966397
116,2.4394175633255224
117,2.5001566231253998
118,2.107987055327006
119,1.5461051667661028
120,2.297017921241078
121,2.051965615212165
122,1.6627014928390929
123,3.81315972902096
124,2.516240708148542
125,2.044149068128269
126,3.2423513515091593
127,2.5563830585203684
128,2.334904285540272
129,2.0742626770365016
130,2.5283614643988828
131,2.53428798100418
132,1.3234207104687317
133,1.4594055544552789
134,4.441602302870403
135,2.7502581471683802
136,1.6932162397624042
137,3.0067528839994204
138,3.5383114141340437
139,3.0992312080134417
140,2.364271421300349
141,1.6948820463148877
142,1.3965332687366754
143,2.1535971552656927
144,2.0930374056900933
145,2.122659335539108
146,0.7808733533551606
147,1.9958628597730868
148,3.7077626393104977
149,2.5259269289435093
150,2.1953881681099947
151,2.530694874886402
152,2.2965321731294113
153,2.8204595939308965
154,2.3703050939900585
155,2.4617903344617615
156,1.3436706588495675
157,2.9762223809387245
158,1.8151743253438801
