episode,episode_loss
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,2.7713839837483
8,1.851642906665802
9,0.9034035515609046
10,0.6128818690776825
11,0.5320930608152026
12,0.45850997624151846
13,0.3906858633963668
14,0.35753227767872287
15,0.3332060086540878
16,0.32382360220390516
17,0.29204090999499444
18,0.2468746553353236
19,0.23649159018242857
20,0.21834962114249126
21,0.22448234303458914
22,0.21605648937397423
23,0.20899825678983083
24,0.23311062795775278
25,0.2359755007606564
26,0.20683496568490403
27,0.21311591697546342
28,0.1867169674175481
29,0.1910207008400879
30,0.18061686183015505
31,0.17051244219526265
32,0.17698083994419953
33,0.1683850660626813
34,0.18274051853889273
35,0.16834566117317046
36,0.1557391541986609
37,0.16722729872686393
38,0.1601461769648261
39,0.16245834439716958
40,0.25709923944022095
41,0.27271093008126696
42,0.2492355360293094
43,0.22674875700703034
44,0.2248232916234659
45,0.20983023622524952
46,0.20418959589744057
47,0.1912515651343799
48,0.21126902957136431
49,0.1977807205900475
50,0.20640581057352178
51,0.2049745975390953
52,0.19782989662616773
53,0.18547504789343006
54,0.1935343665709673
55,0.20226136249949306
56,0.1949412222777188
57,0.16625471886557838
58,0.21828045263229048
59,0.19467217304433385
60,0.18626360129089836
61,0.1799262031231205
62,0.18936804957963801
63,0.17198987343969444
64,0.19085824188704675
65,0.19718920489219943
66,0.18661641057294148
67,0.20807914959732443
68,0.1932761661136924
69,0.19544018149564538
70,0.19227518680602756
71,0.18849236563299643
72,0.17325916275092698
73,0.30234476094838325
74,0.2726038359798834
75,0.24666081542641388
76,0.23770183554781574
77,0.23156435326958189
78,0.23014463479872102
79,0.21961883154693343
80,0.22220783095000332
81,0.2227068080674994
82,0.2099525563842882
83,0.21902872627008693
84,0.21195584036191636
85,0.20881988115153963
86,0.21427628102193352
87,0.2018310334533453
88,0.2120759074265758
89,0.19846861515693442
90,0.20499058540706505
91,0.19524642066522077
92,0.20633880437128038
93,0.20684658298416744
94,0.26781525928527117
95,0.2056121775560608
96,0.2020289179992001
97,0.22313569227072794
98,0.30085074922421595
99,0.3156390553340316
100,0.31565690249614997
101,0.3103647989531358
102,0.3117465570484851
103,0.30035923509695295
104,0.2765015706766483
105,0.299853241071105
106,0.31133884005248547
107,0.28892183621398737
108,0.29219646055337994
109,0.2951857336988701
110,0.278474134783591
111,0.3007887490412109
112,0.28420469735073267
113,0.28868078321460455
114,0.2826965266595716
115,0.27587000699713826
116,0.28597617138932635
117,0.26614635220418376
118,0.2858123693925639
119,0.2712078874159341
120,0.2692725598516706
121,0.26185429697999585
122,0.2577177028692066
123,0.25802773935720325
124,0.2656242231197674
125,0.2736706201297541
126,0.25601234460267364
127,0.25557546331944875
128,0.2535824546400024
129,0.24112953580539637
130,0.25137511626459086
131,0.2815709518165224
132,0.3797735638693718
133,0.3724500813211004
134,0.36716809770976655
135,0.3577137863819181
136,0.3376448544255201
137,0.3490167615893192
