episode,episode_loss
1,0.0
2,0.0
3,0.0
4,1.3594898590818048
5,0.4858107819701686
6,0.4153212299570441
7,0.40664431873114654
8,0.3909768353924792
9,0.302757199544872
10,0.24322122164691487
11,0.25409838015623126
12,0.21243974985554814
13,0.2286689452124828
14,0.19836234774233566
15,0.1909257233298073
16,0.1592337843054299
17,0.17265671957284212
18,0.15542706387868416
19,0.13050692494434019
20,0.130448652915079
21,0.12032708025756567
22,0.11612531023230159
23,0.15118863363564014
24,0.12094414144390994
25,0.11606402598328873
26,0.10973452175613924
27,0.12564521575038382
28,0.08822438503421254
29,0.21930021305062694
30,0.18123155989899084
31,0.21356208029661386
32,0.18533121404832617
33,0.1728496266279481
34,0.19197518570999209
35,0.17890861726010032
36,0.16606890303119431
37,0.16690536479776105
38,0.18246443134129925
39,0.15676795367107055
40,0.17208534550781435
41,0.1608991603705154
42,0.1546674474324515
43,0.16778779164845242
44,0.1488948896925413
45,0.1416834445627526
46,0.15588764186847853
47,0.1376039006660296
48,0.17117034159320638
49,0.13216399900937245
50,0.13301262205974623
51,0.18429262190356963
52,0.18742762312891093
53,0.19035948737321165
54,0.1766100044413987
55,0.20123557095508
56,0.18030951730198733
57,0.18839540059053445
58,0.1750669792915384
59,0.18711196192377827
60,0.17462798732298393
61,0.18410602596798034
62,0.1924736962717085
63,0.19148594761157736
64,0.17256595259497795
65,0.12390102094636773
66,0.15453105639727388
67,0.18295460110303105
68,0.19214276242635997
69,0.17400799874366146
70,0.1627109689064897
71,0.15558758730379244
72,0.1823127540336414
73,0.13975891723543749
74,0.13002845387467565
75,0.1538625991893838
76,0.21029999011698047
77,0.25669274787651375
78,0.23892194852232934
79,0.20081233497088155
80,0.2334101482743411
81,0.22604260224207545
82,0.23074034018916825
83,0.23013326095846984
84,0.21584223967856994
85,0.23634471715642855
86,0.21374070759478994
87,0.2138763653501025
88,0.23089501413482208
89,0.23196037979625644
90,0.19902663846892085
91,0.20407616482630356
92,0.14532379643060267
93,0.2049778595175757
94,0.23161223724197882
95,0.22814404566420066
96,0.21524607535815776
97,0.21206342385178714
98,0.2505945875989587
99,0.20338940976598952
100,0.20720688398935896
101,0.22167695148919636
102,0.21762052013212868
103,0.20511727608181726
104,0.3765721313344936
105,0.33337333139318687
106,0.28503892988400775
107,0.26320958924243004
108,0.2804311037816912
109,0.2632669123731137
110,0.26350078222134876
111,0.2728513137892235
112,0.24361864051265683
113,0.2571657401898866
114,0.2573443876041961
115,0.24131878204560386
116,0.27315304774067384
117,0.24321266525265775
118,0.2447968127578497
119,0.24293849929235875
120,0.2654436325006511
121,0.24186618637759238
122,0.2151276698180785
123,0.25550818172300266
124,0.23641962754388748
125,0.24466597989423952
126,0.25528871500421135
127,0.23537135242388166
128,0.24808021053543378
129,0.25920509583479967
130,0.27999787915635993
131,0.24862714261584676
132,0.2636002516062066
133,0.2308694361323925
134,0.287568643116034
135,0.26344549084516394
136,0.24537273554783529
